"编号","开始答题时间","结束答题时间","答题时长","1.您在过去一年中绝大部分时间（指在9个月以上）居住在？","2.您现在有工作吗？","3.您的年龄是？","4.您的常住地在？","5.您有多少个孩子？","6.您一般每天会在家务劳动（如：买菜做饭、做卫生、照顾孩子等）上花费多少个小时？","7.除了睡觉时间外，您每天的闲暇时间（即没有事情做的时间）有多少个小时？","8.您现在希望拥有工作吗?","9.您想参加工作的主要原因是什么？:增加家庭收入，改善家庭经济条件","9.您想参加工作的主要原因是什么？:结识更多的人，拓宽社交圈子","9.您想参加工作的主要原因是什么？:获得社会认可，实现个人价值","9.您想参加工作的主要原因是什么？:学习新的技能，充实自身 ","9.您想参加工作的主要原因是什么？:响应政策鼓励，如政府扶持的乡村振兴项目或技能培训计划等","9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）","9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）[选项填空]","10.您不想参加工作的主要原因是什么？:需要全职照顾孩子/老人","10.您不想参加工作的主要原因是什么？:身体健康条件不允许","10.您不想参加工作的主要原因是什么？:认为自己作为女性不该外出工作","10.您不想参加工作的主要原因是什么？:周边没有适合的工作机会","10.您不想参加工作的主要原因是什么？:现有技能达不到工作要求","10.您不想参加工作的主要原因是什么？:家庭收入已经满足生活需求，无需再参与工作","10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）","10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）[选项填空]","11.您希望它是全职还是兼职工作？","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:稳定且可预期的收入","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:享受完整的员工福利（社保、医保、休假等）","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:更清晰的职业发展和晋升机会","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:深入参与工作，获得全面经验","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:看重工作稳定性和安全感","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:建立团队归属感","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:便于个人生活和财务规划","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:满足事业心和成就感","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:承担更重要的职责","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）[选项填空]","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:追求工作与生活平衡","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间照顾家庭（育儿、养老等）","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间学习或深造","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:看重工作时间和地点的灵活性","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:同时从事多份工作或发展副业","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:减轻工作压力，保持身心健康","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:作为进入新行业或重返职场的过渡","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:已有其他主要收入来源","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:探索工作多样性或兴趣","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:避免职业倦怠，保持热情","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:身体状况/精力限制","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:增加收入但不愿承担全职责任","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）[选项填空]","14.您希望它是线上的还是线下的？","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:节省通勤时间和成本","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:工作时间和地点更灵活自由","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:能更好地平衡工作和生活/家庭","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:可以跨地域工作（不受居住地限制）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:工作环境更舒适自在（如在家）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:减少外界干扰，更能专注任务","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:更便于安排个人事务（如看病、接送等）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:个人偏好（习惯/喜欢线上工作模式）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明：____{fillblank-e269}）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明：____{fillblank-e269}）[选项填空]","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:促进面对面沟通和团队协作","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:建立更紧密的同事关系和归属感","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:工作内容或性质需要特定场所/设备（如实验室、机器、门店）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:清晰分隔工作与生活空间","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:需要现场指导或管理","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:减少在家工作的干扰（如孩子、家务等）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:享受公司提供的办公环境和资源","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:个人偏好（习惯/喜欢线下工作氛围）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:工作性质要求必须线下完成（如制造、医护、服务等）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明：____{fillblank-2202}）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明：____{fillblank-2202}）[选项填空]","17.您最希望每周工作多少天？","18.您最希望每天工作多少个小时？","19.您最希望这份工作每个月的收入有多少元？","20.您觉得这份工作中的社会保险（如基本养老保险、基本医疗保险、失业保险、工伤保险和生育保险）重要吗？","21.您觉得这份工作中，签订劳动合同重要吗？","22.您的学历是？","23.您以前有参加过工作吗？","24.您的累计工作年限（即参加工作的年数）一共多少年？","25.阅读以下工作内容，选择最符合您的实际情况的选项","26.阅读以下工作内容，选择最符合您的实际情况的选项","27.阅读以下工作内容，选择最符合您的实际情况的选项","28.阅读以下工作内容，选择最符合您的实际情况的选项","29.阅读以下工作内容，选择最符合您的实际情况的选项","30.本题请选择3分的选项","31.阅读以下工作内容，选择最符合您的实际情况的选项","32.阅读以下工作内容，选择最符合您的实际情况的选项","33.阅读以下工作内容，选择最符合您的实际情况的选项","34.您会使用手机、电脑等来上网吗？","35.当您在网上搜索信息（如新闻、知识、解决方案）时，您评估信息来源可靠性和信息真实性的能力如何？","36.您使用在线工具或软件（如文档协作、项目管理、在线会议、专业软件/APP）与他人合作完成工作或学习任务的熟练程度如何？","37.您在互联网上创作和分享原创内容（如撰写博客/公众号/帖子、制作发布图片/视频、编写代码、设计作品等）的经验和能力如何？","38.您对保护个人隐私信息和防范网络安全风险（如诈骗、病毒、钓鱼链接）的意识和采取的措施如何？","39.当您在使用数字设备或网络服务遇到技术问题（如软件无法使用、网络连接故障、设备设置问题）时，您通常如何解决？","40.您懂用电脑或手机做什么工作？:进行修图、视频剪辑的工作","40.您懂用电脑或手机做什么工作？:在手机上销售自家商品（如农产品、手工品）","40.您懂用电脑或手机做什么工作？:通过直播介绍商品","40.您懂用电脑或手机做什么工作？:用手机记录数据（如大棚温度、农村路况）","40.您懂用电脑或手机做什么工作？:通过手机视频教别人手工、烹饪等技能","40.您懂用电脑或手机做什么工作？:进行语言类标注工作（如字幕制作、方言翻译等）","40.您懂用电脑或手机做什么工作？:做在线客服工作","40.您懂用电脑或手机做什么工作？:其他（请填写：____{fillblank-58e0}）","40.您懂用电脑或手机做什么工作？:其他（请填写：____{fillblank-58e0}）[选项填空]","41.以下软件中，您会使用哪些？:手机文件管理器","41.以下软件中，您会使用哪些？:PowerPoint（PPT）","41.以下软件中，您会使用哪些？:Word","41.以下软件中，您会使用哪些？:Excel","41.以下软件中，您会使用哪些？:WPS","41.以下软件中，您会使用哪些？:PS/美图秀秀/醒图等","41.以下软件中，您会使用哪些？:Pr/剪映/必剪等","41.以下软件中，您会使用哪些？:抖音/快手","41.以下软件中，您会使用哪些？:淘宝/京东/拼多多","41.以下软件中，您会使用哪些？:支付宝","41.以下软件中，您会使用哪些？:腾讯会议","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"151","23-Aug-2025 00:59:34","23-Aug-2025 01:03:25","231","2","3","42","2","3","11","5","2","","","","","","","","1","","","1","","","","","2","","","","","","","","","","","","","1","","1","","","","","","","","1","","","1","","","","1","1","","","","","","","","","","","","","","","","","5","6","	2900","2","3","4","1","6","4","3","3","2","3","4","2","4","1","1","2","2","3","2","2","1","1","","","","","","","","","","","","","1","","1","1","1","","简体中文","未清洗","","中国","湖北省","十堰市","","223.77.178.64","mozilla/5.0 (linux; u; android 13;iQOO 10 zh-cn; v2254a build/tp1a.220624.014) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/100.0.4896.58 quark/6.1.3.240 mobile safari/537.36","",
"150","23-Aug-2025 00:55:32","23-Aug-2025 00:58:39","187","2","3","32","2","2","10","5","1","1","","","1","","","","","","","","","","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","1","","1","","","","","","5","9","	3500","1","1","5","1","5","5","4","3","3","4","4","3","5","3","1","2","3","2","4","3","1","","","","","","1","","","","","1","","","","1","","1","1","","简体中文","未清洗","","中国","湖南省","益阳市","","113.223.40.225","mozilla/5.0 (linux; android 12; huawei mate 50 pro harmonyos; dco-al00; hmscore 6.10.0.312) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/13.0.4.321 mobile safari/537.36","",
"149","22-Aug-2025 22:34:05","23-Aug-2025 00:53:48","8383","2","3","36","1","2","6","10","1","","","1","1","","","","","","","","","","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","1","","","","1","","","","","5","8","	4500","1","1","6","1","7","5","5","5","4","4","4","2","5","4","1","3","4","3","3","4","1","","1","","","1","1","","","","1","1","","","","1","1","1","1","1","简体中文","未清洗","","中国","广东省","清远市","","223.74.97.13","mozilla/5.0 (linux; android 13;huawei mate 30pro harmonyos;    LIO-AN00 build/huaweiLIO-AN00; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/92.0.4515.105 mobile safari/537.36 qukan qapp_android qapp_version_32043000 qukan_android qukan_ver","",
"148","23-Aug-2025 00:12:44","23-Aug-2025 00:17:39","295","2","3","29","1","2","6","5","1","","1","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","1","","","1","","","","","","","5","9","	7000","1","1","6","1","4","8","5","5","5","5","4","4","7","6","1","4","5","3","4","4","1","","","1","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","浙江省","丽水市","","122.241.146.219","Mozilla/5.0 (Linux; U; Android 13; zh-cn; 22021211RC Build/TKQ1.220807.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/19.1 Mobile Safari/537.36 COVC/048201","",
"147","23-Aug-2025 00:06:59","23-Aug-2025 00:13:52","413","2","3","31","2","4","8","4","1","1","1","","1","","","","","","","","","","","","2","","","","","","","","","","","","1","1","","","","1","","","","","","","","","1","","1","","1","","","1","","","","","","","","","","","","","","","5","7","	4000","3","2","5","1","4","6","5","5","4","6","4","4","7","5","1","3","4","3","4","3","1","","","1","1","1","","","","1","1","1","1","1","","1","1","1","1","1","简体中文","未清洗","","中国","湖北省","宜昌市","","183.94.242.74","mozilla/5.0 (linux; android 12;huaweiMate 50  harmonyos; lna-al00; hmscore 6.10.0.312) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/13.0.4.321 mobile safari/537.36","",
"146","23-Aug-2025 00:02:35","23-Aug-2025 00:09:27","412","2","3","41","3","2","5","3","2","","","","","","","","1","","","1","","1","","","2","","","","","","","","","","","","","1","","1","","","","1","","","","","","","2","","","","","","","","","","","","1","","1","1","","","","","","","5","10","	4200","2","2","2","2","0","3","4","4","3","4","4","4","4","3","1","2","2","2","3","2","","","","1","","","","","","1","","","","","1","","1","1","1","","简体中文","未清洗","","中国","贵州省","黔南布依族苗族自治州","","117.188.82.47","Mozilla/5.0 (Linux; U; Android 14; zh-cn; 22041211AC Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.119 Mobile Safari/537.36 XiaoMi/MiuiBrowser/19.5.80520","",
"145","22-Aug-2025 23:58:45","23-Aug-2025 00:04:14","329","2","3","30","3","3","8","4","1","1","1","1","","","","","","","","","","","","","1","","","1","","","1","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","1","","","","","","1","","","","5","9","	5500","2","1","5","1","7","7","5","5","4","5","4","3","7","5","1","3","4","3","4","3","1","1","","1","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","广西壮族自治区","梧州市","","117.141.164.127","Mozilla/5.0 (iPhone;iPhone 14 ; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"144","22-Aug-2025 23:54:59","23-Aug-2025 00:00:38","339","2","3","50","3","3","4","5","2","","","","","","","","","","","1","1","1","","","2","","","","","","","","","","","","","","","1","","1","","1","","","","","","","2","","","","","","","","","","","","","","","1","1","","1","","","","5","6","	3000","3","2","2","1","30","4","3","4","3","3","4","3","4","3","1","2","2","3","3","2","","","","1","","","","","","","","","","","","","1","1","","","简体中文","未清洗","","中国","陕西省","安康市","","117.23.236.241","mozilla/5.0 (linux; android 13;huawe inova 10SE  harmonyos; nco-al00; hmscore 6.10.0.312) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/13.0.4.321 mobile safari/537.36","",
"143","22-Aug-2025 23:50:56","22-Aug-2025 23:56:27","331","2","3","33","2","4","8","3","1","","","1","1","1","","","","","","","","","","","2","","","","","","","","","","","","","1","1","1","","","","","","","","","","","1","","","1","","1","","1","","","","","","","","","","","","","","","5","6","	3500","3","1","5","1","5","5","4","5","3","4","4","4","5","4","1","3","4","3","3","3","1","","","1","1","1","","","","1","1","1","1","1","","1","1","1","1","1","简体中文","未清洗","","中国","湖北省","咸宁市","","111.60.144.218","mozilla/5.0 (linux; android 13; oppo Find X8 Pro/ v2199a; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/87.0.4280.141 mobile safari/537.36 vivobrowser/14.4.40.0","",
"142","22-Aug-2025 23:46:07","22-Aug-2025 23:53:02","415","2","3","41","3","3","6","4","1","","1","1","1","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","1","1","","","","","","","","","2","","","","","","","","","","","1","1","","","","1","","","","","","6","9","	4500","3","2","3","1","16","5","4","5","4","4","4","3","5","4","1","3","2","3","3","3","1","","","","1","","","","","1","","","","","1","","1","1","1","","简体中文","未清洗","","中国","重庆市","重庆市","","218.70.203.118","Mozilla/5.0 (Linux; Android 11; M2007J17C Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.3809.89 Mobile Safari/537.36 T7/13.4 SP-engine/2.42.0 baiduboxapp/13.4.0.12 (Baidu; P1 11) NABar/1.0","",
"141","22-Aug-2025 23:41:46","22-Aug-2025 23:48:02","376","2","3","25","1","1","3","7","1","","1","1","","1","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","1","1","","","","","5","9","	6500","1","1","6","1","2","7","5","5","6","5","4","4","7","5","1","3","4","3","4","3","1","1","","1","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","山东省","潍坊市","","223.79.204.151","Mozilla/5.0 (Linux; Android 15; PJJ110 Build/SKQ1.221119.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/90.0.4430.61 Mobile Safari/537.36 HeytapBrowser","",
"140","22-Aug-2025 23:40:32","22-Aug-2025 23:44:00","208","2","3","36","2","3","7","3","1","","","1","1","1","","","","","","","","","","","1","","","","1","1","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","1","1","","","","","","5","9","	5500","2","1","5","1","7","5","5","5","4","3","4","4","5","4","1","3","3","3","4","3","1","","","1","1","1","","","","1","1","1","1","","","1","1","1","1","","简体中文","未清洗","","中国","山西省","长治市","","60.220.86.185","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1","",
"139","22-Aug-2025 23:31:59","22-Aug-2025 23:36:35","276","2","3","35","1","2","5","3","2","","","","","","","","","1","","1","","1","","","2","","","","","","","","","","","","","","","1","","1","","1","","","","","","","1","","","1","","","1","1","","","","","","","","","","","","","","","5","8","	3500","3","2","5","1","8","5","5","5","4","5","4","3","6","5","1","3","4","3","3","3","1","","","1","","1","","","","1","1","1","1","1","","1","1","1","1","1","简体中文","未清洗","","中国","河北省","承德市","","106.8.160.48","Mozilla/5.0 (iPhone;IPhone 12 pro   CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"138","22-Aug-2025 23:31:22","22-Aug-2025 23:33:43","141","2","3","29","4","2","6","4","1","","1","","1","1","","","","","","","","","","","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","1","","","1","","","","","","","5","9","	7200","2","2","6","1","4","7","5","5","5","5","4","4","7","5","1","4","5","4","4","4","1","1","","1","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","吉林省","白山市","","175.18.115.88","Mozilla/5.0 (Linux; Android 14; V2301A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.200 Mobile Safari/537.36 VivoBrowser/25.7.3.0","",
"137","22-Aug-2025 23:24:07","22-Aug-2025 23:29:21","314","2","3","33","1","3","7","5","1","","1","1","1","","","","","","","","","","","","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","5","10","	5000","2","2","5","1","7","6","5","5","3","4","4","3","5","4","1","3","3","3","4","3","1","","","1","1","1","","","","1","1","1","1","1","1","","1","1","1","1","简体中文","未清洗","","中国","浙江省","舟山市","","101.66.205.126","mozilla/5.0 (linux; android 13; huaweinova 10 pro  harmonyos; nco-al00; hmscore 6.10.0.312) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/13.0.4.321 mobile safari/537.36","",
"136","22-Aug-2025 23:20:17","22-Aug-2025 23:27:20","423","2","3","26","3","1","3","7","1","1","1","1","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","1","","1","","","","","","","","5","8","	5500","2","1","6","1","2","7","5","5","4","5","4","4","6","5","1","3","4","3","4","3","1","1","","1","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","云南省","大理白族自治州","","112.114.223.240","Mozilla/5.0 (Linux; U; Android 14; zh-cn; 22041211AC Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.119 Mobile Safari/537.36 XiaoMi/MiuiBrowser/19.5.80520","",
"135","22-Aug-2025 23:15:24","22-Aug-2025 23:21:45","381","2","3","39","3","3","6","4","1","","1","1","","1","","","","","","","","","","","1","1","","1","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","1","1","","","","","","5","8","	4800","2","2","5","1","10","5","5","5","4","3","4","3","5","4","1","3","2","3","3","3","1","","","1","","1","","","","1","1","1","1","1","","1","1","1","1","1","简体中文","未清洗","","中国","新疆维吾尔自治区","乌鲁木齐市","","49.113.148.3","Mozilla/5.0 (iPhone;iPhone 13 pro MAX  CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"134","22-Aug-2025 23:11:43","22-Aug-2025 23:17:48","365","2","3","36","2","3","6","7","1","","1","1","1","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","1","1","","","","","","","5","9","	4000","2","1","4","1","9","5","5","5","5","4","4","3","6","4","1","3","3","3","3","3","1","","","1","1","1","","","","1","1","1","1","1","","1","1","1","1","1","简体中文","未清洗","","中国","河南省","焦作市","","171.11.44.98","Mozilla/5.0 (iPhone;iPhone 14 ; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"133","22-Aug-2025 23:09:46","22-Aug-2025 23:13:31","225","2","3","33","1","4","8","5","2","","","","","","","","1","1","","1","","1","","","2","","","","","","","","","","","","","1","","","1","1","","","","","","","","","1","","1","","1","","1","","","","","","","","","","","","","","","","5","9","	4300","2","1","5","1","7","5","5","5","4","4","4","4","6","4","1","3","4","3","4","3","1","","","1","1","1","","","","1","1","1","1","1","","","1","1","1","1","简体中文","未清洗","","中国","江苏省","连云港市","","223.67.220.225","Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1","",
"132","22-Aug-2025 23:05:27","22-Aug-2025 23:09:42","255","2","3","43","2","3","6","5","1","","1","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","1","1","","","","","","","","2","","","","","","","","","","","","","","1","1","1","","","","","","4","8","	3000","3","3","4","1","22","4","4","4","3","3","4","4","4","3","1","2","2","3","3","2","","","","1","","","","","","","","","","","","","1","1","","","简体中文","未清洗","","中国","湖北省","鄂州市","","27.25.231.203","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1","",
"131","22-Aug-2025 22:58:27","22-Aug-2025 23:06:28","481","2","3","49","3","3","5","6","2","","","","","","","","","1","","1","","1","","","2","","","","","","","","","","","","","","","","","1","","1","1","","","","","","2","","","","","","","","","","","","","","1","1","","1","","","","","5","8","	3300","3","2","4","1","21","4","4","5","4","4","4","3","4","4","1","3","3","2","3","2","","","","1","","","","","","1","","","","","1","","1","1","","","简体中文","未清洗","","中国","宁夏回族自治区","吴忠市","","111.50.29.180","mozilla/5.0 (linux; android 13;vivo X 30  /V1938CT; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/87.0.4280.141 mobile safari/537.36 vivobrowser/14.5.0.0","",
"130","22-Aug-2025 22:52:27","22-Aug-2025 23:00:19","472","2","3","27","3","1","3","6","1","1","","1","1","","","","","","","","","","","","1","","1","1","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","1","","1","","","","5","9","	6500","2","1","6","1","2","7","5","5","4","5","4","4","6","5","1","4","4","3","4","4","1","1","","1","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","贵州省","六盘水市","","119.1.41.195","Mozilla/5.0 (iPhone;iPhone 15 pro; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"129","22-Aug-2025 22:49:57","22-Aug-2025 22:54:58","301","2","3","39","2","3","6","8","1","","1","1","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","1","1","","","","","","","","","1","","1","1","1","","","","","","","","","","","","","","","","","","5","10","	3500","3","2","4","1","7","4","4","4","4","3","4","3","5","4","1","3","2","3","2","3","","","","1","","","","","","1","","","","","1","","1","1","1","","简体中文","未清洗","","中国","湖北省","随州市","","111.173.221.55","Mozilla/5.0 (iPhone;IPhone 12 pro   CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"128","22-Aug-2025 22:45:46","22-Aug-2025 22:50:45","299","2","3","29","4","2","4","7","1","1","","1","1","","","","","","","","","","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","1","1","","","","","","","5","8","	7000","1","1","6","1","3","7","5","5","4","4","4","4","6","5","1","4","4","3","4","4","1","1","","1","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","吉林省","辽源市","","111.27.49.234","Mozilla/5.0 (Linux; U; Android 15; zh-cn; PJE110 Build/TP1A.220905.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/115.0.5790.168 Mobile Safari/537.36 HeyTapBrowser/40.9.9.2","",
"127","22-Aug-2025 22:41:55","22-Aug-2025 22:46:26","271","2","3","43","3","2","3","6","1","","1","1","","1","","","","","","","","","","","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","1","","1","","","","","5","9","	6500","2","2","4","1","8","4","4","5","3","3","4","3","5","5","1","3","3","3","3","4","1","","","1","","","","","","1","1","1","1","1","1","","1","1","1","1","简体中文","未清洗","","中国","青海省","黄南藏族自治州","","111.44.204.207","Mozilla/5.0 (Linux; Android 15; MAA-AN00 Build/HONORMAA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 T7/15.19 SP-engine/3.36.0 bd_dvt/0 baiduboxapp/15.19.0.10 (Baidu; P1 15) NABar/1.0","",
"126","22-Aug-2025 22:38:39","22-Aug-2025 22:43:47","308","2","3","31","3","3","6","5","1","","","1","1","1","","","","","","","","","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","1","1","","","","","","5","9","	5200","2","1","5","1","4","5","5","5","4","4","4","4","6","5","1","4","4","3","4","3","","","","1","","1","1","","","","1","1","1","1","","1","1","1","1","1","简体中文","未清洗","","中国","陕西省","汉中市","","1.81.131.62","Mozilla/5.0 (iPhone;iPhone 14 ; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"125","22-Aug-2025 22:32:16","22-Aug-2025 22:39:31","435","2","3","36","1","3","6","6","1","","1","1","1","","","","","","","","","","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","1","","","1","","","","","5","9","	4800","2","2","5","1","6","4","4","5","4","4","4","3","5","4","1","3","2","2","3","3","","","","1","1","1","","","","","1","1","1","","","1","1","1","1","1","简体中文","未清洗","","中国","河北省","邢台市","","123.180.74.66","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1","",
